Name: Manville Road, Instruction: Head north on Manville Road, Distance: 329.3 meters, Time: 237.1 seconds
Name: Civic Road, Instruction: Turn sharp left onto Civic Road, Distance: 144.0 meters, Time: 103.7 seconds
Name: Prudham Gate, Instruction: Turn right onto Prudham Gate, Distance: 67.7 meters, Time: 48.7 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn left, Distance: 171.6 meters, Time: 123.5 seconds
Name: -, Instruction: Keep right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 803.8 meters, Time: 578.7 seconds
Name: -, Instruction: Keep right, Distance: 160.1 meters, Time: 115.3 seconds
Name: -, Instruction: Turn left, Distance: 58.3 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
