Name: Indian Road, Instruction: Head south on Indian Road, Distance: 210.8 meters, Time: 151.8 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight left, Distance: 143.9 meters, Time: 103.6 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Sunnyside Avenue, Instruction: Turn right onto Sunnyside Avenue, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Wright Avenue, Instruction: Turn left onto Wright Avenue, Distance: 583.8 meters, Time: 420.4 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 196.9 meters, Time: 141.8 seconds
Name: -, Instruction: Keep left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Keep left, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
