Name: Hawarden Crescent, Instruction: Head south on Hawarden Crescent, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 98.9 meters, Time: 71.2 seconds
Name: Vesta Drive, Instruction: Turn left onto Vesta Drive, Distance: 191.8 meters, Time: 138.1 seconds
Name: Burton Road, Instruction: Turn right onto Burton Road, Distance: 397.9 meters, Time: 286.5 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 310.6 meters, Time: 223.6 seconds
Name: -, Instruction: Turn right, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn left, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Keep right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Keep right, Distance: 33.3 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
