Name: Bisley Street, Instruction: Head west on Bisley Street, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 491.0 meters, Time: 353.5 seconds
Name: Boulton Avenue, Instruction: Turn left onto Boulton Avenue, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 707.1 meters, Time: 509.1 seconds
Name: -, Instruction: Keep left, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Turn left, Distance: 188.2 meters, Time: 135.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: Lower River Street, Instruction: Turn left onto Lower River Street, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Old Foundry Road, Instruction: Turn right onto Old Foundry Road, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Arrive at Old Foundry Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
