Name: Cassels Avenue, Instruction: Head east on Cassels Avenue, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Continue straight, Distance: 49.5 meters, Time: 35.7 seconds
Name: Cassels Park Trail, Instruction: Turn right onto Cassels Park Trail, Distance: 119.4 meters, Time: 85.9 seconds
Name: Burgess Avenue, Instruction: Turn left onto Burgess Avenue, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Brookside Drive, Instruction: Turn right onto Brookside Drive, Distance: 246.5 meters, Time: 177.5 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 70.7 meters, Time: 50.9 seconds
Name: -, Instruction: Keep right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Kenilworth Avenue, Instruction: Turn left onto Kenilworth Avenue, Distance: 808.7 meters, Time: 582.3 seconds
Name: Queen Street East, Instruction: Turn left onto Queen Street East, Distance: 28.7 meters, Time: 20.7 seconds
Name: Kenilworth Avenue, Instruction: Turn right onto Kenilworth Avenue, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
