Name: Eastview Path, Instruction: Head south on Eastview Path, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn slight left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn slight right, Distance: 676.1 meters, Time: 486.8 seconds
Name: -, Instruction: Keep left, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Keep left, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
