Name: Joseph Banks Terrace, Instruction: Head southwest on Joseph Banks Terrace, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 122.1 meters, Time: 87.9 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn slight left, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn slight right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Keep left, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
