Name: Madeira Lane, Instruction: Head east on Madeira Lane, Distance: 67.1 meters, Time: 48.3 seconds
Name: Madeira Place, Instruction: Turn left onto Madeira Place, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Continue straight, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Keep right, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 110.1 meters, Time: 79.2 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Keep right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 152.9 meters, Time: 110.1 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 278.9 meters, Time: 200.8 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Keep left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 156.8 meters, Time: 112.9 seconds
Name: -, Instruction: Turn right, Distance: 263.7 meters, Time: 189.9 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 281.9 meters, Time: 202.9 seconds
Name: -, Instruction: Keep left, Distance: 102.0 meters, Time: 73.4 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.1 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
