Name: Smedley Street, Instruction: Head southwest on Smedley Street, Distance: 67.6 meters, Time: 48.6 seconds
Name: Pallant Street, Instruction: Turn left onto Pallant Street, Distance: 275.3 meters, Time: 198.2 seconds
Name: Funnell Place, Instruction: Turn right onto Funnell Place, Distance: 658.9 meters, Time: 474.4 seconds
Name: -, Instruction: Turn right, Distance: 132.0 meters, Time: 95.0 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 236.8 meters, Time: 170.5 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 568.7 meters, Time: 409.4 seconds
Name: -, Instruction: Turn left, Distance: 290.8 meters, Time: 209.4 seconds
Name: -, Instruction: Turn slight left, Distance: 237.5 meters, Time: 171.0 seconds
Name: Settlers Cove, Instruction: Turn right onto Settlers Cove, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Arrive at Settlers Cove, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
