Name: Smedley Street, Instruction: Head north on Smedley Street, Distance: 253.3 meters, Time: 182.3 seconds
Name: Burbank Avenue, Instruction: Turn right onto Burbank Avenue, Distance: 81.3 meters, Time: 58.5 seconds
Name: Nina Place, Instruction: Turn left onto Nina Place, Distance: 203.5 meters, Time: 146.5 seconds
Name: -, Instruction: Turn right, Distance: 83.9 meters, Time: 60.4 seconds
Name: Dagenham Street, Instruction: Turn left onto Dagenham Street, Distance: 245.5 meters, Time: 176.7 seconds
Name: Browns Road, Instruction: Turn right onto Browns Road, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 213.9 meters, Time: 154.0 seconds
Name: -, Instruction: Turn slight right, Distance: 15.1 meters, Time: 10.9 seconds
Name: Browns Road, Instruction: Turn left onto Browns Road, Distance: 236.7 meters, Time: 170.4 seconds
Name: -, Instruction: Turn left, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 273.8 meters, Time: 197.1 seconds
Name: McVilly Road, Instruction: Turn right onto McVilly Road, Distance: 55.1 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 244.8 meters, Time: 176.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 524.3 meters, Time: 377.5 seconds
Name: -, Instruction: Turn left, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
