Name: Swan Lane, Instruction: Head southwest on Swan Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 687.2 meters, Time: 494.8 seconds
Name: Henderson Creek shared path, Instruction: Turn right onto Henderson Creek shared path, Distance: 177.2 meters, Time: 127.6 seconds
Name: Henderson Creek shared path, Instruction: Turn left onto Henderson Creek shared path, Distance: 903.9 meters, Time: 650.8 seconds
Name: -, Instruction: Keep right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
