Name: Ballyliffin Drive, Instruction: Head southwest on Ballyliffin Drive, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn slight right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Drumbuoy Drive, Instruction: Turn left onto Drumbuoy Drive, Distance: 57.8 meters, Time: 41.6 seconds
Name: Corveen Road, Instruction: Turn right onto Corveen Road, Distance: 41.9 meters, Time: 30.2 seconds
Name: Corveen Road, Instruction: Turn right onto Corveen Road, Distance: 65.8 meters, Time: 47.4 seconds
Name: Cloonlyon Drive, Instruction: Turn left onto Cloonlyon Drive, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn slight left, Distance: 104.1 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: Joseph Street, Instruction: Turn left onto Joseph Street, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 246.7 meters, Time: 177.6 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: Arrowsmith Drive, Instruction: Turn right onto Arrowsmith Drive, Distance: 254.8 meters, Time: 183.5 seconds
Name: Arrowsmith Drive, Instruction: Keep left onto Arrowsmith Drive, Distance: 29.0 meters, Time: 20.9 seconds
Name: Hilltop Road, Instruction: Turn left onto Hilltop Road, Distance: 362.6 meters, Time: 261.1 seconds
Name: Redoubt Road, Instruction: Turn left onto Redoubt Road, Distance: 313.4 meters, Time: 225.6 seconds
Name: -, Instruction: Arrive at Redoubt Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
