Name: Freeland Avenue, Instruction: Head southwest on Freeland Avenue, Distance: 184.2 meters, Time: 132.6 seconds
Name: Glynn Street, Instruction: Turn right onto Glynn Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn slight left, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 7.6 meters, Time: 5.5 seconds
Name: Marion Avenue, Instruction: Turn right onto Marion Avenue, Distance: 227.3 meters, Time: 163.6 seconds
Name: McGowan Street, Instruction: Turn left onto McGowan Street, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Turn right, Distance: 724.5 meters, Time: 521.6 seconds
Name: -, Instruction: Keep left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight left, Distance: 172.3 meters, Time: 124.0 seconds
Name: -, Instruction: Keep left, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: New Lynn - Sandringham Cycleway, Instruction: Turn left onto New Lynn - Sandringham Cycleway, Distance: 208.7 meters, Time: 150.2 seconds
Name: -, Instruction: Turn right, Distance: 315.5 meters, Time: 227.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
