Name: Checkerberry Court, Instruction: Head southwest on Checkerberry Court, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 335.5 meters, Time: 241.6 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 127.3 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight left, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: Ranui to Henderson Shared Path, Instruction: Turn slight right onto Ranui to Henderson Shared Path, Distance: 4.2 meters, Time: 3.0 seconds
Name: Ranui to Henderson Shared Path, Instruction: Turn right onto Ranui to Henderson Shared Path, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 40.5 meters, Time: 29.1 seconds
Name: -, Instruction: Continue straight, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Keep left, Distance: 176.2 meters, Time: 126.9 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Keep right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 309.3 meters, Time: 222.7 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 327.0 meters, Time: 235.4 seconds
Name: -, Instruction: Keep right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight right, Distance: 174.2 meters, Time: 125.4 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: Urlich Drive, Instruction: Turn right onto Urlich Drive, Distance: 154.0 meters, Time: 110.9 seconds
Name: -, Instruction: Arrive at Urlich Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
