Name: Stanway Place, Instruction: Head northwest on Stanway Place, Distance: 87.3 meters, Time: 62.8 seconds
Name: Kalmia Street, Instruction: Turn right onto Kalmia Street, Distance: 337.8 meters, Time: 243.2 seconds
Name: Kalmia Street, Instruction: Keep left onto Kalmia Street, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 359.1 meters, Time: 258.5 seconds
Name: -, Instruction: Turn left, Distance: 368.5 meters, Time: 265.3 seconds
Name: -, Instruction: Turn left, Distance: 147.9 meters, Time: 106.5 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 105.9 meters, Time: 76.2 seconds
Name: Adam Street, Instruction: Turn left onto Adam Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: Great South Road, Instruction: Turn right onto Great South Road, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 409.6 meters, Time: 294.9 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Atarangi Road, Instruction: Turn left onto Atarangi Road, Distance: 132.9 meters, Time: 95.7 seconds
Name: -, Instruction: Continue straight, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Keep right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Keep left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn right, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
