Name: Madeira Lane, Instruction: Head east on Madeira Lane, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Keep left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 355.1 meters, Time: 255.7 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 199.6 meters, Time: 143.7 seconds
Name: -, Instruction: Keep left, Distance: 471.9 meters, Time: 339.8 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
