Name: Wainoni Heights, Instruction: Head northwest on Wainoni Heights, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn left, Distance: 246.9 meters, Time: 177.8 seconds
Name: -, Instruction: Turn slight left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 181.7 meters, Time: 130.9 seconds
Name: -, Instruction: Turn right, Distance: 383.6 meters, Time: 276.2 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rame Road, Instruction: Turn right onto Rame Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Traffic Road, Instruction: Turn left onto Traffic Road, Distance: 254.9 meters, Time: 183.6 seconds
Name: -, Instruction: Arrive at Traffic Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
