Name: Nautilus Drive, Instruction: Head west on Nautilus Drive, Distance: 401.9 meters, Time: 289.4 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.5 seconds
Name: Gulf Harbour Marina Path, Instruction: Turn left onto Gulf Harbour Marina Path, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 370.2 meters, Time: 266.5 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 210.1 meters, Time: 151.3 seconds
Name: -, Instruction: Turn right, Distance: 176.7 meters, Time: 127.2 seconds
Name: Alec Craig Way, Instruction: Turn left onto Alec Craig Way, Distance: 160.2 meters, Time: 115.3 seconds
Name: Fingal Way, Instruction: Enter the roundabout and take the 1st exit onto Fingal Way, Distance: 75.6 meters, Time: 54.5 seconds
Name: Fingal Way, Instruction: Keep left onto Fingal Way, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Arrive at Fingal Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
