Name: Eban Avenue, Instruction: Head northwest on Eban Avenue, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn right, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn left, Distance: 105.0 meters, Time: 75.6 seconds
Name: -, Instruction: Turn slight left, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.9 seconds
Name: Linley Place, Instruction: Turn right onto Linley Place, Distance: 8.1 meters, Time: 5.8 seconds
Name: Lynden Avenue, Instruction: Turn left onto Lynden Avenue, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 96.9 meters, Time: 69.8 seconds
Name: Stanaway Street, Instruction: Turn left onto Stanaway Street, Distance: 329.7 meters, Time: 237.4 seconds
Name: Coronation Road, Instruction: Turn left onto Coronation Road, Distance: 151.5 meters, Time: 109.1 seconds
Name: Beatrice Avenue, Instruction: Turn right onto Beatrice Avenue, Distance: 367.3 meters, Time: 264.4 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 152.5 meters, Time: 109.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
