Name: Garfield Street, Instruction: Head west on Garfield Street, Distance: 409.8 meters, Time: 295.1 seconds
Name: Parnell Rise, Instruction: Turn left onto Parnell Rise, Distance: 5.4 meters, Time: 3.9 seconds
Name: Parnell Rise, Instruction: Keep right onto Parnell Rise, Distance: 139.0 meters, Time: 100.1 seconds
Name: -, Instruction: Turn left, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 88.6 meters, Time: 63.8 seconds
Name: Churchill Street Shared Path, Instruction: Turn left onto Churchill Street Shared Path, Distance: 2.0 meters, Time: 1.4 seconds
Name: Constitution Hill, Instruction: Turn right onto Constitution Hill, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Continue straight, Distance: 89.9 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 261.5 meters, Time: 188.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 153.5 meters, Time: 110.5 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight right, Distance: 40.6 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 54.4 meters, Time: 39.1 seconds
Name: -, Instruction: Turn slight right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
