Name: شارع لطيف باشا, Instruction: Head west on شارع لطيف باشا, Distance: 292.7 meters, Time: 210.8 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: شارع ثابت باشا, Instruction: Turn right onto شارع ثابت باشا, Distance: 35.2 meters, Time: 25.3 seconds
Name: شارع عثمان باشا, Instruction: Turn left onto شارع عثمان باشا, Distance: 191.8 meters, Time: 138.1 seconds
Name: حارة الدمرداش, Instruction: Turn right onto حارة الدمرداش, Distance: 128.1 meters, Time: 92.2 seconds
Name: شارع رايل, Instruction: Turn right onto شارع رايل, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: شارع رايل, Instruction: Turn right onto شارع رايل, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at شارع رايل, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
