Name: شارع ابو منصور الموفق, Instruction: Head east on شارع ابو منصور الموفق, Distance: 152.5 meters, Time: 109.8 seconds
Name: شارع الشهيد عادل منصور, Instruction: Turn left onto شارع الشهيد عادل منصور, Distance: 10.3 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.6 seconds
Name: شارع الشهيد محمد محمود, Instruction: Turn right onto شارع الشهيد محمد محمود, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight left, Distance: 77.0 meters, Time: 55.4 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 51.2 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: محور مصطفى كامل, Instruction: Turn right onto محور مصطفى كامل, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: محور مصطفى كامل, Instruction: Turn left onto محور مصطفى كامل, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 38.4 meters, Time: 27.7 seconds
Name: شارع الإمام البوصيري, Instruction: Turn right onto شارع الإمام البوصيري, Distance: 272.2 meters, Time: 196.0 seconds
Name: شارع الشيخ الحصرى, Instruction: Turn right onto شارع الشيخ الحصرى, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 35.1 meters, Time: 25.2 seconds
Name: شارع بن وافد, Instruction: Turn right onto شارع بن وافد, Distance: 59.7 meters, Time: 43.0 seconds
Name: شارع الشهيد سيد, Instruction: Turn right onto شارع الشهيد سيد, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: شارع على يوسف, Instruction: Turn left onto شارع على يوسف, Distance: 31.0 meters, Time: 22.3 seconds
Name: شارع الشهيد سعد سليمان, Instruction: Turn right onto شارع الشهيد سعد سليمان, Distance: 10.2 meters, Time: 7.4 seconds
Name: شارع على يوسف, Instruction: Turn left onto شارع على يوسف, Distance: 71.3 meters, Time: 51.3 seconds
Name: شارع محمد فتحي قورة, Instruction: Turn right onto شارع محمد فتحي قورة, Distance: 127.9 meters, Time: 92.1 seconds
Name: -, Instruction: Turn left, Distance: 57.3 meters, Time: 41.3 seconds
Name: شارع الإمام البوصيري, Instruction: Turn right onto شارع الإمام البوصيري, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: شارع الإمام البوصيري, Instruction: Turn left onto شارع الإمام البوصيري, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.4 seconds
Name: شارع كارم محمود, Instruction: Turn right onto شارع كارم محمود, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Continue straight, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
