Name: شارع محمد سعيد, Instruction: Head southeast on شارع محمد سعيد, Distance: 199.6 meters, Time: 143.7 seconds
Name: شارع فتحي زكي, Instruction: Turn left onto شارع فتحي زكي, Distance: 191.0 meters, Time: 137.5 seconds
Name: شارع مستشفى القوات المسلحه, Instruction: Turn right onto شارع مستشفى القوات المسلحه, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 236.6 meters, Time: 170.4 seconds
Name: -, Instruction: Turn right, Distance: 331.0 meters, Time: 238.3 seconds
Name: شارع كورنيش النيل, Instruction: Turn right onto شارع كورنيش النيل, Distance: 113.4 meters, Time: 81.7 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 138.9 meters, Time: 100.0 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 141.2 meters, Time: 101.7 seconds
Name: -, Instruction: Turn left, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Turn left, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
