Name: شارع رياض السنباطى, Instruction: Head west on شارع رياض السنباطى, Distance: 128.0 meters, Time: 92.1 seconds
Name: شارع الشهيد ابراهيم عبد التواب, Instruction: Turn right onto شارع الشهيد ابراهيم عبد التواب, Distance: 65.3 meters, Time: 47.0 seconds
Name: شارع أم كلثوم, Instruction: Turn left onto شارع أم كلثوم, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.6 seconds
Name: شارع حسام جويش, Instruction: Turn right onto شارع حسام جويش, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: شارع حسام جويش, Instruction: Turn left onto شارع حسام جويش, Distance: 84.9 meters, Time: 61.2 seconds
Name: شارع أم كلثوم, Instruction: Turn right onto شارع أم كلثوم, Distance: 508.7 meters, Time: 366.3 seconds
Name: شارع عبدالرحمن بيصار, Instruction: Turn right onto شارع عبدالرحمن بيصار, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.4 seconds
Name: شارع الشيخ محمد الجزاوى, Instruction: Turn left onto شارع الشيخ محمد الجزاوى, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
