Name: Snaresbrook Road, Instruction: Head northwest on Snaresbrook Road, Distance: 21.7 meters, Time: 15.6 seconds
Name: Enfield Road, Instruction: Turn right onto Enfield Road, Distance: 52.7 meters, Time: 38.0 seconds
Name: Enfield Road, Instruction: Turn right onto Enfield Road, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 49.2 meters, Time: 35.4 seconds
Name: Clays Lane, Instruction: Turn right onto Clays Lane, Distance: 35.8 meters, Time: 25.8 seconds
Name: Chigwell Road, Instruction: Turn left onto Chigwell Road, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 79.2 meters, Time: 57.0 seconds
Name: Southern Cross Street, Instruction: Turn left onto Southern Cross Street, Distance: 178.8 meters, Time: 128.7 seconds
Name: -, Instruction: Turn right, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Keep right, Distance: 53.1 meters, Time: 38.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.5 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
