Name: Westbury Road, Instruction: Head north on Westbury Road, Distance: 95.0 meters, Time: 68.4 seconds
Name: Silwood Road, Instruction: Turn left onto Silwood Road, Distance: 263.9 meters, Time: 190.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 67.1 meters, Time: 48.3 seconds
Name: Croquet Road, Instruction: Turn slight left onto Croquet Road, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Keep left, Distance: 129.0 meters, Time: 92.9 seconds
Name: Erin Road, Instruction: Turn left onto Erin Road, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at Erin Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
