Name: Coral Tree Road, Instruction: Head north on Coral Tree Road, Distance: 136.1 meters, Time: 98.0 seconds
Name: Heldersig Road, Instruction: Turn left onto Heldersig Road, Distance: 567.4 meters, Time: 408.5 seconds
Name: Forest Drive, Instruction: Turn right onto Forest Drive, Distance: 50.5 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 1541.8 meters, Time: 1110.1 seconds
Name: -, Instruction: Turn left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 65.9 seconds
Name: Station Road, Instruction: Turn right onto Station Road, Distance: 67.2 meters, Time: 48.4 seconds
Name: Goulburn Street, Instruction: Turn left onto Goulburn Street, Distance: 231.6 meters, Time: 166.7 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: Goodwood Street, Instruction: Turn left onto Goodwood Street, Distance: 28.0 meters, Time: 20.2 seconds
Name: Dingle Road, Instruction: Turn right onto Dingle Road, Distance: 75.5 meters, Time: 54.3 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 341.5 meters, Time: 245.9 seconds
Name: -, Instruction: Arrive at Alice Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
