Name: Glynnville Terrace, Instruction: Head northwest on Glynnville Terrace, Distance: 56.7 meters, Time: 40.8 seconds
Name: Barnet Street, Instruction: Turn right onto Barnet Street, Distance: 50.7 meters, Time: 36.5 seconds
Name: Dunkley Street, Instruction: Turn left onto Dunkley Street, Distance: 65.0 meters, Time: 46.8 seconds
Name: Saint Johns Road, Instruction: Turn right onto Saint Johns Road, Distance: 17.8 meters, Time: 12.9 seconds
Name: Avenue Street, Instruction: Turn left onto Avenue Street, Distance: 103.2 meters, Time: 74.3 seconds
Name: Paddock Terrace, Instruction: Turn right onto Paddock Terrace, Distance: 193.5 meters, Time: 139.3 seconds
Name: -, Instruction: Turn left, Distance: 79.3 meters, Time: 57.1 seconds
Name: Government Avenue, Instruction: Turn right onto Government Avenue, Distance: 529.2 meters, Time: 381.0 seconds
Name: -, Instruction: Turn slight left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn slight right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Saint George's Mall, Instruction: Turn right onto Saint George's Mall, Distance: 355.5 meters, Time: 255.9 seconds
Name: Castle Street, Instruction: Turn left onto Castle Street, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 64.9 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn right, Distance: 70.5 meters, Time: 50.7 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 227.3 meters, Time: 163.6 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn slight right, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Keep right, Distance: 181.7 meters, Time: 130.8 seconds
Name: -, Instruction: Turn right, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
