Name: Hester Street, Instruction: Head northwest on Hester Street, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 67.6 meters, Time: 48.7 seconds
Name: Tafelberg Road, Instruction: Turn left onto Tafelberg Road, Distance: 13.2 meters, Time: 9.5 seconds
Name: Shirley Road, Instruction: Turn right onto Shirley Road, Distance: 80.0 meters, Time: 57.6 seconds
Name: Drakenstein Circle, Instruction: Turn left onto Drakenstein Circle, Distance: 72.6 meters, Time: 52.3 seconds
Name: Drakenstein Circle, Instruction: Keep right onto Drakenstein Circle, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 134.6 meters, Time: 96.9 seconds
Name: Bluegum Road, Instruction: Turn slight left onto Bluegum Road, Distance: 173.5 meters, Time: 124.9 seconds
Name: Sandy Lane, Instruction: Turn left onto Sandy Lane, Distance: 78.8 meters, Time: 56.7 seconds
Name: Tafelberg Road, Instruction: Turn right onto Tafelberg Road, Distance: 124.7 meters, Time: 89.8 seconds
Name: -, Instruction: Turn left, Distance: 552.3 meters, Time: 397.6 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Myrtle Road, Instruction: Turn right onto Myrtle Road, Distance: 382.2 meters, Time: 275.2 seconds
Name: -, Instruction: Keep left, Distance: 140.0 meters, Time: 100.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
