Name: Van Reenen Street, Instruction: Head south on Van Reenen Street, Distance: 23.1 meters, Time: 16.6 seconds
Name: Merriman Road, Instruction: Turn right onto Merriman Road, Distance: 150.6 meters, Time: 108.4 seconds
Name: Victoria Street, Instruction: Turn left onto Victoria Street, Distance: 169.9 meters, Time: 122.3 seconds
Name: Dingle Road, Instruction: Turn right onto Dingle Road, Distance: 346.9 meters, Time: 249.7 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.8 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Hugo Street, Instruction: Turn left onto Hugo Street, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 542.3 meters, Time: 390.4 seconds
Name: Joubert Street, Instruction: Turn right onto Joubert Street, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
