Name: Nassau Street, Instruction: Head north on Nassau Street, Distance: 103.6 meters, Time: 74.6 seconds
Name: Oranje Avenue, Instruction: Turn right onto Oranje Avenue, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: Constantia Crescent, Instruction: Turn right onto Constantia Crescent, Distance: 8.4 meters, Time: 6.0 seconds
Name: Vryburger Street, Instruction: Turn left onto Vryburger Street, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: Constantia Crescent, Instruction: Turn right onto Constantia Crescent, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 402.0 meters, Time: 289.5 seconds
Name: -, Instruction: Turn right, Distance: 209.4 meters, Time: 150.8 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Keep left, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 98.0 meters, Time: 70.5 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Continue straight, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 65.2 meters, Time: 46.9 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: Louwtjie Rothman Street, Instruction: Turn right onto Louwtjie Rothman Street, Distance: 136.9 meters, Time: 98.6 seconds
Name: -, Instruction: Turn right, Distance: 123.7 meters, Time: 89.1 seconds
Name: Louwtjie Rothman Street, Instruction: Turn right onto Louwtjie Rothman Street, Distance: 168.6 meters, Time: 121.4 seconds
Name: -, Instruction: Arrive at Louwtjie Rothman Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
