Name: Lansdowne Road, Instruction: Head southeast on Lansdowne Road, Distance: 5.5 meters, Time: 4.0 seconds
Name: Lacre Road, Instruction: Turn left onto Lacre Road, Distance: 219.3 meters, Time: 157.9 seconds
Name: Clarewyn Road, Instruction: Turn left onto Clarewyn Road, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 98.2 meters, Time: 70.7 seconds
Name: Polaris Road, Instruction: Turn sharp right onto Polaris Road, Distance: 32.5 meters, Time: 23.4 seconds
Name: Blomvlei Road, Instruction: Turn left onto Blomvlei Road, Distance: 101.1 meters, Time: 72.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 77.7 meters, Time: 55.9 seconds
Name: Induland Crescent, Instruction: Turn right onto Induland Crescent, Distance: 163.0 meters, Time: 117.4 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: Induland Avenue, Instruction: Turn right onto Induland Avenue, Distance: 31.8 meters, Time: 22.9 seconds
Name: Blomvlei Road, Instruction: Turn left onto Blomvlei Road, Distance: 115.7 meters, Time: 83.3 seconds
Name: Turflyn Walk, Instruction: Turn left onto Turflyn Walk, Distance: 84.3 meters, Time: 60.7 seconds
Name: Manlyn Walk, Instruction: Turn right onto Manlyn Walk, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Keep right, Distance: 81.7 meters, Time: 58.8 seconds
Name: Manlyn Walk, Instruction: Turn right onto Manlyn Walk, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn left, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Continue straight, Distance: 129.7 meters, Time: 93.4 seconds
Name: Athsur Walk, Instruction: Turn left onto Athsur Walk, Distance: 25.5 meters, Time: 18.4 seconds
Name: Blomvlei Road, Instruction: Turn right onto Blomvlei Road, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at Blomvlei Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
