Name: Ednam Road, Instruction: Head north on Ednam Road, Distance: 197.2 meters, Time: 142.0 seconds
Name: Rouwkoop Road, Instruction: Turn right onto Rouwkoop Road, Distance: 247.8 meters, Time: 178.4 seconds
Name: -, Instruction: Keep right, Distance: 44.5 meters, Time: 32.1 seconds
Name: Rouwkoop Road, Instruction: Turn left onto Rouwkoop Road, Distance: 29.9 meters, Time: 21.5 seconds
Name: Myrtle Road, Instruction: Turn left onto Myrtle Road, Distance: 162.4 meters, Time: 116.9 seconds
Name: -, Instruction: Turn left, Distance: 189.8 meters, Time: 136.7 seconds
Name: Duke Road, Instruction: Continue straight onto Duke Road, Distance: 460.5 meters, Time: 331.6 seconds
Name: -, Instruction: Turn left, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: Austwick Road, Instruction: Turn right onto Austwick Road, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Arrive at Austwick Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
