Name: Burnside Road, Instruction: Head southeast on Burnside Road, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 33.7 meters, Time: 24.2 seconds
Name: New Church Street, M62, Instruction: Turn left onto New Church Street, M62, Distance: 348.2 meters, Time: 250.7 seconds
Name: -, Instruction: Turn right, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: New Church Street, Instruction: Turn slight left onto New Church Street, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight left, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: Buitengracht Street, Instruction: Turn right onto Buitengracht Street, Distance: 239.7 meters, Time: 172.6 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: Bloem Street, Instruction: Turn left onto Bloem Street, Distance: 45.0 meters, Time: 32.4 seconds
Name: Jordaan Street, Instruction: Turn right onto Jordaan Street, Distance: 134.8 meters, Time: 97.1 seconds
Name: Neiderlands Lane, Instruction: Turn left onto Neiderlands Lane, Distance: 46.7 meters, Time: 33.6 seconds
Name: Bryant Street, Instruction: Turn right onto Bryant Street, Distance: 102.5 meters, Time: 73.8 seconds
Name: Dorp Street, Instruction: Turn left onto Dorp Street, Distance: 176.6 meters, Time: 127.2 seconds
Name: Pentz Street, Instruction: Turn left onto Pentz Street, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Arrive at Pentz Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
