Name: East 104th Avenue, Instruction: Head west on East 104th Avenue, Distance: 1.8 meters, Time: 1.3 seconds
Name: Landmark Drive, Instruction: Turn right onto Landmark Drive, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: Landmark Drive, Instruction: Turn left onto Landmark Drive, Distance: 208.8 meters, Time: 150.3 seconds
Name: Reunion Drive, Instruction: Turn right onto Reunion Drive, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: Unity Trail, Instruction: Turn slight right onto Unity Trail, Distance: 89.1 meters, Time: 64.2 seconds
Name: Unity Parkway, Instruction: Keep left onto Unity Parkway, Distance: 338.3 meters, Time: 243.6 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Unity Trail, Instruction: Turn left onto Unity Trail, Distance: 7.0 meters, Time: 5.0 seconds
Name: Unity Trail, Instruction: Turn left onto Unity Trail, Distance: 20.4 meters, Time: 14.7 seconds
Name: Unity Trail, Instruction: Turn left onto Unity Trail, Distance: 6.5 meters, Time: 4.7 seconds
Name: Unity Trail, Instruction: Turn right onto Unity Trail, Distance: 6.4 meters, Time: 4.6 seconds
Name: Unity Trail, Instruction: Turn left onto Unity Trail, Distance: 113.2 meters, Time: 81.5 seconds
Name: Unity Trail, Instruction: Continue straight onto Unity Trail, Distance: 160.5 meters, Time: 115.6 seconds
Name: Unity Trail, Instruction: Turn slight right onto Unity Trail, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
