Name: East Iliff Avenue, Instruction: Head southwest on East Iliff Avenue, Distance: 59.4 meters, Time: 42.8 seconds
Name: Baltic Drive, Instruction: Turn right onto Baltic Drive, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn left, Distance: 56.4 meters, Time: 40.6 seconds
Name: South Pagosa Way, Instruction: Turn left onto South Pagosa Way, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Keep left, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn left, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Keep right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
