Name: South Uravan Place, Instruction: Head northeast on South Uravan Place, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 200.0 meters, Time: 144.0 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 119.4 meters, Time: 86.0 seconds
Name: -, Instruction: Keep right, Distance: 236.6 meters, Time: 170.3 seconds
Name: -, Instruction: Turn left, Distance: 64.8 meters, Time: 46.6 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: East Belleview Place, Instruction: Turn right onto East Belleview Place, Distance: 6.7 meters, Time: 4.8 seconds
Name: South Richfeild Street, Instruction: Turn left onto South Richfeild Street, Distance: 52.0 meters, Time: 37.5 seconds
Name: East Progress Circle North, Instruction: Turn right onto East Progress Circle North, Distance: 74.5 meters, Time: 53.6 seconds
Name: South Quintero Street, Instruction: Turn left onto South Quintero Street, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Arrive at South Quintero Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
