Name: East 46th Avenue, Instruction: Head east on East 46th Avenue, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 103.7 meters, Time: 74.7 seconds
Name: -, Instruction: Turn left, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.8 seconds
Name: -, Instruction: Keep right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: North Genoa Street, Instruction: Turn right onto North Genoa Street, Distance: 158.9 meters, Time: 114.4 seconds
Name: North Gibraltar Way, Instruction: Turn left onto North Gibraltar Way, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 285.5 meters, Time: 205.6 seconds
Name: High Line Canal Trail, Instruction: Turn right onto High Line Canal Trail, Distance: 6.7 meters, Time: 4.8 seconds
Name: East Mitchell Place, Instruction: Turn left onto East Mitchell Place, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Arrive at East Mitchell Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
