Name: North Dayton Street, Instruction: Head north on North Dayton Street, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Continue straight, Distance: 732.7 meters, Time: 527.6 seconds
Name: -, Instruction: Turn right, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Continue straight, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 103.0 meters, Time: 74.1 seconds
Name: -, Instruction: Turn left, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
