Name: Homer Street, Instruction: Head southeast on Homer Street, Distance: 8.7 meters, Time: 6.3 seconds
Name: Crawford Street, Instruction: Turn left onto Crawford Street, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: Seymour Place, Instruction: Turn right onto Seymour Place, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 142.2 meters, Time: 102.4 seconds
Name: Blandford Street, Instruction: Turn left onto Blandford Street, Distance: 191.5 meters, Time: 137.9 seconds
Name: -, Instruction: Arrive at Blandford Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
