Name: Lower Addison Gardens, Instruction: Head northeast on Lower Addison Gardens, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 421.7 meters, Time: 303.6 seconds
Name: Addison Crescent, Instruction: Turn slight left onto Addison Crescent, Distance: 142.9 meters, Time: 102.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: Addison Road, Instruction: Turn right onto Addison Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Oakwood Court, Instruction: Turn left onto Oakwood Court, Distance: 196.0 meters, Time: 141.1 seconds
Name: Abbotsbury Road, Instruction: Turn left onto Abbotsbury Road, Distance: 153.6 meters, Time: 110.6 seconds
Name: -, Instruction: Turn right, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn slight left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
