Name: Bocking Street, Instruction: Head west on Bocking Street, Distance: 98.6 meters, Time: 71.0 seconds
Name: Sheep Lane, Instruction: Turn left onto Sheep Lane, Distance: 90.6 meters, Time: 65.2 seconds
Name: Duncan Road, Instruction: Turn right onto Duncan Road, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: Jackman Street, Instruction: Turn right onto Jackman Street, Distance: 41.8 meters, Time: 30.1 seconds
Name: Jackman Street, Instruction: Turn slight left onto Jackman Street, Distance: 50.5 meters, Time: 36.3 seconds
Name: Broadway Market, Instruction: Turn left onto Broadway Market, Distance: 26.5 meters, Time: 19.1 seconds
Name: Broadway Market, Instruction: Keep left onto Broadway Market, Distance: 12.8 meters, Time: 9.2 seconds
Name: Broadway Market, Instruction: Turn right onto Broadway Market, Distance: 35.2 meters, Time: 25.3 seconds
Name: Regent's Row, Instruction: Turn right onto Regent's Row, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Pritchard's Road, Instruction: Turn right onto Pritchard's Road, Distance: 33.8 meters, Time: 24.3 seconds
Name: Whiston Road, Instruction: Turn right onto Whiston Road, Distance: 609.9 meters, Time: 439.1 seconds
Name: Thurtle Road, Instruction: Turn left onto Thurtle Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
