Name: Pentlands Close, Instruction: Head southeast on Pentlands Close, Distance: 142.9 meters, Time: 102.9 seconds
Name: Commonside East, Instruction: Turn left onto Commonside East, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 322.8 meters, Time: 232.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Cedars Avenue, Instruction: Turn right onto Cedars Avenue, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 374.5 meters, Time: 269.6 seconds
Name: -, Instruction: Turn right, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn left, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Keep right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Baker Lane, Instruction: Turn left onto Baker Lane, Distance: 28.1 meters, Time: 20.2 seconds
Name: Pembroke Road, Instruction: Turn right onto Pembroke Road, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
