Name: John Prince's Street, Instruction: Head northwest on John Prince's Street, Distance: 58.3 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 8.0 seconds
Name: Cavendish Square, Instruction: Turn left onto Cavendish Square, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: Cavendish Square, Instruction: Turn left onto Cavendish Square, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn right, Distance: 273.9 meters, Time: 197.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 131.7 meters, Time: 94.8 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 208.3 meters, Time: 150.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 146.7 meters, Time: 105.6 seconds
Name: -, Instruction: Keep left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn left, Distance: 219.5 meters, Time: 158.0 seconds
Name: -, Instruction: Turn slight right, Distance: 285.0 meters, Time: 205.2 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 249.6 meters, Time: 179.7 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.7 seconds
Name: Park Road, Instruction: Turn left onto Park Road, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Keep left, Distance: 205.6 meters, Time: 148.0 seconds
Name: Lilestone Street, Instruction: Keep right onto Lilestone Street, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Lilestone Street, Instruction: Turn right onto Lilestone Street, Distance: 27.9 meters, Time: 20.1 seconds
Name: Mallory Street, Instruction: Turn left onto Mallory Street, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Arrive at Mallory Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
