Name: Hulme Place, Instruction: Head southeast on Hulme Place, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 170.5 meters, Time: 122.7 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 502.6 meters, Time: 361.9 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 75.3 meters, Time: 54.2 seconds
Name: Green Dragon Court, Instruction: Turn slight right onto Green Dragon Court, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 445.7 meters, Time: 320.9 seconds
Name: King William Street, Instruction: Turn left onto King William Street, Distance: 140.6 meters, Time: 101.3 seconds
Name: -, Instruction: Turn slight left, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: Cannon Street, Instruction: Turn right onto Cannon Street, Distance: 14.3 meters, Time: 10.3 seconds
Name: King William Street, Instruction: Turn left onto King William Street, Distance: 227.3 meters, Time: 163.6 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Keep right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.0 seconds
Name: Lothbury, Instruction: Turn left onto Lothbury, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Gresham Street, Instruction: Turn left onto Gresham Street, Distance: 21.8 meters, Time: 15.7 seconds
Name: Basinghall Street, Instruction: Turn right onto Basinghall Street, Distance: 85.1 meters, Time: 61.2 seconds
Name: Basinghall Street, Instruction: Turn left onto Basinghall Street, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 53.9 meters, Time: 38.8 seconds
Name: Aldermanbury, Instruction: Turn right onto Aldermanbury, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
