Name: Burnham Close, Instruction: Head west on Burnham Close, Distance: 24.8 meters, Time: 17.8 seconds
Name: Bushwood Drive, Instruction: Turn slight left onto Bushwood Drive, Distance: 41.6 meters, Time: 30.0 seconds
Name: Longfellow Way, Instruction: Turn left onto Longfellow Way, Distance: 71.7 meters, Time: 51.7 seconds
Name: Chaucer Drive, Instruction: Turn left onto Chaucer Drive, Distance: 29.4 meters, Time: 21.1 seconds
Name: Chaucer Drive, Instruction: Turn right onto Chaucer Drive, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: Dunton Road, Instruction: Turn left onto Dunton Road, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: Dunton Road, Instruction: Turn left onto Dunton Road, Distance: 186.8 meters, Time: 134.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.1 seconds
Name: Old Kent Road, Instruction: Turn right onto Old Kent Road, Distance: 390.2 meters, Time: 280.9 seconds
Name: -, Instruction: Continue straight, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Continue straight, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Continue straight, Distance: 11.6 meters, Time: 8.4 seconds
Name: Townsend Street, Instruction: Turn right onto Townsend Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 105.1 meters, Time: 75.7 seconds
Name: Darwin Street, Instruction: Turn left onto Darwin Street, Distance: 58.1 meters, Time: 41.8 seconds
Name: Searles Road, Instruction: Turn right onto Searles Road, Distance: 247.9 meters, Time: 178.5 seconds
Name: John Maurice Close, Instruction: Turn left onto John Maurice Close, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 177.6 meters, Time: 127.9 seconds
Name: Balfour Road, Instruction: Turn right onto Balfour Road, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 179.0 meters, Time: 128.9 seconds
Name: Rodney Place, Instruction: Turn right onto Rodney Place, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: Ash Avenue, Instruction: Turn left onto Ash Avenue, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Keep left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Continue straight, Distance: 19.2 meters, Time: 13.9 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Keep right, Distance: 48.1 meters, Time: 34.6 seconds
Name: Walworth Road, A215, Instruction: Turn right onto Walworth Road, A215, Distance: 50.4 meters, Time: 36.3 seconds
Name: Walworth Road, A215, Instruction: Keep left onto Walworth Road, A215, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: Newington Butts, A3, Instruction: Turn right onto Newington Butts, A3, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Arrive at Newington Butts, A3, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
