Name: Cairo New Road, Instruction: Head north on Cairo New Road, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 191.2 meters, Time: 137.7 seconds
Name: -, Instruction: Turn right, Distance: 63.1 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Continue straight, Distance: 29.4 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Clarendon Road, Instruction: Turn left onto Clarendon Road, Distance: 275.4 meters, Time: 198.3 seconds
Name: Parson's Mead, Instruction: Turn slight left onto Parson's Mead, Distance: 799.1 meters, Time: 575.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 37.4 meters, Time: 26.9 seconds
Name: Elmwood Road, Instruction: Turn left onto Elmwood Road, Distance: 256.1 meters, Time: 184.4 seconds
Name: Lodge Road, Instruction: Turn left onto Lodge Road, Distance: 300.8 meters, Time: 216.6 seconds
Name: Cameron Road, Instruction: Turn right onto Cameron Road, Distance: 49.8 meters, Time: 35.9 seconds
Name: St. Saviour's Road, Instruction: Continue straight onto St. Saviour's Road, Distance: 97.6 meters, Time: 70.3 seconds
Name: Queen's Road, Instruction: Turn left onto Queen's Road, Distance: 37.1 meters, Time: 26.7 seconds
Name: Pawson's Road, Instruction: Turn right onto Pawson's Road, Distance: 126.2 meters, Time: 90.9 seconds
Name: Harry Close, Instruction: Turn left onto Harry Close, Distance: 51.6 meters, Time: 37.2 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
