Name: York Road, Instruction: Head southeast on York Road, Distance: 51.8 meters, Time: 37.3 seconds
Name: Addington Street, A3200, Instruction: Turn slight left onto Addington Street, A3200, Distance: 12.8 meters, Time: 9.2 seconds
Name: Addington Street, A3200, Instruction: Turn slight left onto Addington Street, A3200, Distance: 10.5 meters, Time: 7.6 seconds
Name: Addington Street, Instruction: Keep left onto Addington Street, Distance: 20.4 meters, Time: 14.7 seconds
Name: Station Approach Road, Instruction: Turn sharp left onto Station Approach Road, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 139.0 meters, Time: 100.1 seconds
Name: -, Instruction: Continue straight, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Keep right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 255.2 meters, Time: 183.7 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight left, Distance: 99.5 meters, Time: 71.6 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn slight right, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn slight right, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Keep right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Reedworth Street, Instruction: Turn left onto Reedworth Street, Distance: 133.6 meters, Time: 96.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 104.8 meters, Time: 75.4 seconds
Name: -, Instruction: Turn right, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Continue straight, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: Cottington Street, Instruction: Turn left onto Cottington Street, Distance: 77.7 meters, Time: 56.0 seconds
Name: Cornwall Square Kennings Way, Instruction: Continue straight onto Cornwall Square Kennings Way, Distance: 53.0 meters, Time: 38.2 seconds
Name: Othello Close, Instruction: Continue straight onto Othello Close, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
