Name: Webber Street, Instruction: Head west on Webber Street, Distance: 155.4 meters, Time: 111.9 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 237.7 meters, Time: 171.2 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 218.3 meters, Time: 157.2 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 183.9 meters, Time: 132.4 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn slight right, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn slight right, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Keep right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 309.5 meters, Time: 222.8 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight right, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Keep right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 276.5 meters, Time: 199.1 seconds
Name: Kennington Park Road, Instruction: Turn right onto Kennington Park Road, Distance: 27.3 meters, Time: 19.6 seconds
Name: Kennington Road, A23, Instruction: Turn left onto Kennington Road, A23, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Arrive at Kennington Road, A23, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
