Name: Arcadian Gardens, Instruction: Head east on Arcadian Gardens, Distance: 401.1 meters, Time: 288.8 seconds
Name: Cross Road, Instruction: Turn left onto Cross Road, Distance: 74.3 meters, Time: 53.5 seconds
Name: Maryland Road, Instruction: Turn right onto Maryland Road, Distance: 118.0 meters, Time: 84.9 seconds
Name: Wolves Lane, Instruction: Turn left onto Wolves Lane, Distance: 189.7 meters, Time: 136.5 seconds
Name: Norfolk Avenue, Instruction: Turn right onto Norfolk Avenue, Distance: 351.5 meters, Time: 253.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 365.7 meters, Time: 263.3 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 27.3 meters, Time: 19.6 seconds
Name: Devonshire Court, Instruction: Continue straight onto Devonshire Court, Distance: 36.1 meters, Time: 26.0 seconds
Name: Devonshire Hill Lane, Instruction: Turn slight left onto Devonshire Hill Lane, Distance: 27.8 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Keep right, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 380.2 meters, Time: 273.8 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: White Hart Lane, Instruction: Turn left onto White Hart Lane, Distance: 210.6 meters, Time: 151.6 seconds
Name: Devonshire Hill Lane, Instruction: Turn left onto Devonshire Hill Lane, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
