Name: Whitworth Road, Instruction: Head northwest on Whitworth Road, Distance: 613.3 meters, Time: 441.6 seconds
Name: Canham Road, Instruction: Turn right onto Canham Road, Distance: 158.6 meters, Time: 114.2 seconds
Name: Ross Road, Instruction: Turn sharp left onto Ross Road, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn slight left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 148.6 meters, Time: 107.0 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn slight left, Distance: 132.7 meters, Time: 95.5 seconds
Name: Hythe Road, Instruction: Turn right onto Hythe Road, Distance: 168.9 meters, Time: 121.6 seconds
Name: Livingstone Road, Instruction: Turn left onto Livingstone Road, Distance: 13.1 meters, Time: 9.4 seconds
Name: Speke Road, Instruction: Turn right onto Speke Road, Distance: 79.8 meters, Time: 57.5 seconds
Name: Moffat Road, Instruction: Turn left onto Moffat Road, Distance: 188.1 meters, Time: 135.4 seconds
Name: -, Instruction: Turn right, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
