Name: Bingfield Street, Instruction: Head west on Bingfield Street, Distance: 212.7 meters, Time: 153.1 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.6 seconds
Name: -, Instruction: Turn slight left, Distance: 165.5 meters, Time: 119.1 seconds
Name: -, Instruction: Turn right, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Keep left, Distance: 43.4 meters, Time: 31.3 seconds
Name: Canal Reach, Instruction: Turn left onto Canal Reach, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Continue straight, Distance: 37.7 meters, Time: 27.2 seconds
Name: Canal Reach, Instruction: Continue straight onto Canal Reach, Distance: 212.3 meters, Time: 152.8 seconds
Name: Canal Reach, Instruction: Turn right onto Canal Reach, Distance: 32.8 meters, Time: 23.6 seconds
Name: Canal Reach, Instruction: Turn left onto Canal Reach, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Continue straight, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn slight right, Distance: 43.1 meters, Time: 31.0 seconds
Name: Regent's Canal towpath, Instruction: Turn right onto Regent's Canal towpath, Distance: 83.5 meters, Time: 60.2 seconds
Name: -, Instruction: Keep right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Camley Street, Instruction: Turn right onto Camley Street, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
