Name: Muscovy Street, Instruction: Head east on Muscovy Street, Distance: 7.6 meters, Time: 5.4 seconds
Name: Seething Lane, Instruction: Turn right onto Seething Lane, Distance: 25.9 meters, Time: 18.7 seconds
Name: Byward Street, Instruction: Turn right onto Byward Street, Distance: 542.9 meters, Time: 390.9 seconds
Name: King William Street, Instruction: Keep right onto King William Street, Distance: 266.6 meters, Time: 192.0 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Keep left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 215.2 meters, Time: 154.9 seconds
Name: -, Instruction: Turn left, Distance: 326.2 meters, Time: 234.8 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 281.7 meters, Time: 202.8 seconds
Name: Warwick Lane, Instruction: Turn right onto Warwick Lane, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at Warwick Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
