Name: Farmcote Road, Instruction: Head northeast on Farmcote Road, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 168.1 meters, Time: 121.0 seconds
Name: Winn Road, Instruction: Turn right onto Winn Road, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Danescombe, Instruction: Turn left onto Danescombe, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Continue straight, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Corona Road, Instruction: Turn right onto Corona Road, Distance: 75.5 meters, Time: 54.3 seconds
Name: Woodyates Road, Instruction: Turn left onto Woodyates Road, Distance: 306.5 meters, Time: 220.7 seconds
Name: Horncastle Road, Instruction: Turn right onto Horncastle Road, Distance: 205.7 meters, Time: 148.1 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Continue straight, Distance: 352.3 meters, Time: 253.6 seconds
Name: Westhorne Avenue, A205, Instruction: Turn right onto Westhorne Avenue, A205, Distance: 29.4 meters, Time: 21.2 seconds
Name: Ryelands Crescent, Instruction: Turn right onto Ryelands Crescent, Distance: 51.0 meters, Time: 36.7 seconds
Name: Ryelands Crescent, Instruction: Turn left onto Ryelands Crescent, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Arrive at Ryelands Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
