Name: Trenchold Street, Instruction: Head south on Trenchold Street, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Wyvil Road, Instruction: Turn left onto Wyvil Road, Distance: 73.4 meters, Time: 52.9 seconds
Name: South Lambeth Road, A203, Instruction: Turn right onto South Lambeth Road, A203, Distance: 135.8 meters, Time: 97.8 seconds
Name: Old South Lambeth Road, Instruction: Turn left onto Old South Lambeth Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: Old South Lambeth Road, Instruction: Turn left onto Old South Lambeth Road, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Old South Lambeth Road, Instruction: Turn right onto Old South Lambeth Road, Distance: 4.2 meters, Time: 3.0 seconds
Name: Heyford Avenue, Instruction: Keep left onto Heyford Avenue, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 201.5 meters, Time: 145.1 seconds
Name: -, Instruction: Turn left, Distance: 220.3 meters, Time: 158.6 seconds
Name: -, Instruction: Turn left, Distance: 99.8 meters, Time: 71.8 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Dorset Road, Instruction: Turn right onto Dorset Road, Distance: 9.5 meters, Time: 6.9 seconds
Name: Clapham Road, A3, Instruction: Turn left onto Clapham Road, A3, Distance: 25.0 meters, Time: 18.0 seconds
Name: South Island Place, Instruction: Turn right onto South Island Place, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 112.2 meters, Time: 80.7 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Hackford Road, Instruction: Turn right onto Hackford Road, Distance: 4.2 meters, Time: 3.0 seconds
Name: Mowll Street, Instruction: Turn left onto Mowll Street, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 151.1 meters, Time: 108.8 seconds
Name: -, Instruction: Turn right, Distance: 114.3 meters, Time: 82.3 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Turn left, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn right, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
