Name: Calzada Puente de Guerra, Instruction: Head south on Calzada Puente de Guerra, Distance: 28.1 meters, Time: 20.3 seconds
Name: Calle Tierra Nueva, Instruction: Turn right onto Calle Tierra Nueva, Distance: 208.8 meters, Time: 150.3 seconds
Name: Calle Tierra Nueva, Instruction: Enter the roundabout and take the 3rd exit onto Calle Tierra Nueva, Distance: 81.2 meters, Time: 58.4 seconds
Name: Privada 2 de el Rosario, Instruction: Turn right onto Privada 2 de el Rosario, Distance: 127.4 meters, Time: 91.8 seconds
Name: Avenida El Rosario, Instruction: Turn left onto Avenida El Rosario, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: Avenida El Rosario, Instruction: Turn left onto Avenida El Rosario, Distance: 52.8 meters, Time: 38.0 seconds
Name: Calle Cultura Norte, Instruction: Keep right onto Calle Cultura Norte, Distance: 40.4 meters, Time: 29.1 seconds
Name: Calle Cultura Norte, Instruction: Turn right onto Calle Cultura Norte, Distance: 205.1 meters, Time: 147.7 seconds
Name: -, Instruction: Continue straight, Distance: 401.7 meters, Time: 289.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
