Name: Calle 45 del Temoluco, Instruction: Head north on Calle 45 del Temoluco, Distance: 68.5 meters, Time: 49.3 seconds
Name: Calle Llovizna, Instruction: Turn left onto Calle Llovizna, Distance: 114.1 meters, Time: 82.2 seconds
Name: Calle Llovizna, Instruction: Turn slight right onto Calle Llovizna, Distance: 11.9 meters, Time: 8.5 seconds
Name: Calle Llovizna, Instruction: Turn slight left onto Calle Llovizna, Distance: 62.7 meters, Time: 45.1 seconds
Name: Avenida Ventisca, Instruction: Turn sharp right onto Avenida Ventisca, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.7 meters, Time: 13.4 seconds
Name: Avenida Luis Espinoza, Instruction: Turn right onto Avenida Luis Espinoza, Distance: 240.8 meters, Time: 173.4 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 37.7 meters, Time: 27.2 seconds
Name: Avenida Luis Espinoza, Instruction: Turn slight left onto Avenida Luis Espinoza, Distance: 19.4 meters, Time: 13.9 seconds
Name: Calle Tuberías, Instruction: Turn right onto Calle Tuberías, Distance: 239.8 meters, Time: 172.7 seconds
Name: Calle Transformación Industrial, Instruction: Turn left onto Calle Transformación Industrial, Distance: 3.8 meters, Time: 2.8 seconds
Name: Calle Tuberías, Instruction: Turn right onto Calle Tuberías, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Arrive at Calle Tuberías, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
