Name: Retorno 6 de Manuel Rivera Cambas, Instruction: Head southeast on Retorno 6 de Manuel Rivera Cambas, Distance: 58.4 meters, Time: 42.1 seconds
Name: Lateral Norte C. Robelo, Instruction: Turn right onto Lateral Norte C. Robelo, Distance: 113.5 meters, Time: 81.7 seconds
Name: Retorno 34, Instruction: Turn right onto Retorno 34, Distance: 16.7 meters, Time: 12.0 seconds
Name: Retorno 32 de Cecilio Robelo, Instruction: Turn slight right onto Retorno 32 de Cecilio Robelo, Distance: 57.1 meters, Time: 41.1 seconds
Name: Retorno 30 de Cecilio Robelo, Instruction: Continue straight onto Retorno 30 de Cecilio Robelo, Distance: 92.7 meters, Time: 66.8 seconds
Name: Calle Cecilio Robelo, Instruction: Turn right onto Calle Cecilio Robelo, Distance: 24.2 meters, Time: 17.4 seconds
Name: Avenida Licenciado Genaro García, Instruction: Turn sharp left onto Avenida Licenciado Genaro García, Distance: 200.8 meters, Time: 144.6 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: Avenida Licenciado Genaro García, Instruction: Turn left onto Avenida Licenciado Genaro García, Distance: 170.8 meters, Time: 123.0 seconds
Name: Avenida Fray Servando Teresa de Mier, Instruction: Turn right onto Avenida Fray Servando Teresa de Mier, Distance: 57.4 meters, Time: 41.4 seconds
Name: Retorno 5b, Instruction: Keep left onto Retorno 5b, Distance: 24.4 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: Lateral Sur Fray Servando Teresa de Mier, Instruction: Turn right onto Lateral Sur Fray Servando Teresa de Mier, Distance: 2.9 meters, Time: 2.1 seconds
Name: Lateral Poniente Genaro García, Instruction: Turn left onto Lateral Poniente Genaro García, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Keep right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn slight left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Retorno 11 de Licenciado Genaro García, Instruction: Turn right onto Retorno 11 de Licenciado Genaro García, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at Retorno 11 de Licenciado Genaro García, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
