Name: Avenida Colonia del Valle, Instruction: Head southwest on Avenida Colonia del Valle, Distance: 30.0 meters, Time: 21.6 seconds
Name: Calle Concepción Beistegui, Instruction: Keep right onto Calle Concepción Beistegui, Distance: 261.2 meters, Time: 188.1 seconds
Name: Calle Providencia, Instruction: Turn left onto Calle Providencia, Distance: 248.9 meters, Time: 179.2 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.2 seconds
Name: Calle Eugenia, Instruction: Turn right onto Calle Eugenia, Distance: 210.8 meters, Time: 151.8 seconds
Name: Avenida San Francisco, Instruction: Turn left onto Avenida San Francisco, Distance: 634.1 meters, Time: 456.5 seconds
Name: -, Instruction: Turn left, Distance: 97.7 meters, Time: 70.3 seconds
Name: -, Instruction: Keep right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Keep right, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Keep right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 372.8 meters, Time: 268.4 seconds
Name: -, Instruction: Keep right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn slight left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 105.1 meters, Time: 75.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
