Name: Calle Medicina, Instruction: Head west on Calle Medicina, Distance: 181.3 meters, Time: 130.5 seconds
Name: Calle Odontología, Instruction: Continue straight onto Calle Odontología, Distance: 223.4 meters, Time: 160.9 seconds
Name: -, Instruction: Keep right, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: Circuito Escolar, Instruction: Turn right onto Circuito Escolar, Distance: 42.9 meters, Time: 30.9 seconds
Name: Circuito Escolar, Instruction: Turn sharp left onto Circuito Escolar, Distance: 700.7 meters, Time: 504.5 seconds
Name: -, Instruction: Keep left, Distance: 35.4 meters, Time: 25.5 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn slight right onto Avenida Insurgentes Sur, Distance: 676.8 meters, Time: 487.3 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn right onto Avenida Insurgentes Sur, Distance: 127.1 meters, Time: 91.5 seconds
Name: Calle Río Cuauhtémoc, Instruction: Turn sharp left onto Calle Río Cuauhtémoc, Distance: 152.8 meters, Time: 110.0 seconds
Name: -, Instruction: Arrive at Calle Río Cuauhtémoc, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
