Name: Widenmayerstraße, Instruction: Head southwest on Widenmayerstraße, Distance: 110.7 meters, Time: 79.7 seconds
Name: Dianastraße, Instruction: Turn right onto Dianastraße, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.4 seconds
Name: Oettingenstraße, Instruction: Turn right onto Oettingenstraße, Distance: 104.8 meters, Time: 75.4 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
