Name: Menterstraße, Instruction: Head east on Menterstraße, Distance: 96.5 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn right, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.6 seconds
Name: Paganinistraße, Instruction: Turn right onto Paganinistraße, Distance: 115.4 meters, Time: 83.1 seconds
Name: Sarasatestraße, Instruction: Turn left onto Sarasatestraße, Distance: 256.1 meters, Time: 184.4 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn left, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
