Name: Cimbernstraße, Instruction: Head northeast on Cimbernstraße, Distance: 256.8 meters, Time: 184.9 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: Grainauer Weg, Instruction: Turn left onto Grainauer Weg, Distance: 98.4 meters, Time: 70.9 seconds
Name: Luise-Kiesselbach-Platz, Instruction: Turn slight right onto Luise-Kiesselbach-Platz, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Keep right, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Keep right, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Continue straight, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn slight left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
