Name: Straße 1, Instruction: Head west on Straße 1, Distance: 119.2 meters, Time: 85.8 seconds
Name: Wirtsbudenstraße, Instruction: Turn left onto Wirtsbudenstraße, Distance: 49.4 meters, Time: 35.6 seconds
Name: Straße 1 West, Instruction: Turn right onto Straße 1 West, Distance: 119.3 meters, Time: 85.9 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 119.5 meters, Time: 86.1 seconds
Name: Heimeranstraße, Instruction: Keep left onto Heimeranstraße, Distance: 140.7 meters, Time: 101.3 seconds
Name: Heimeranstraße, Instruction: Keep right onto Heimeranstraße, Distance: 338.3 meters, Time: 243.6 seconds
Name: Ganghoferstraße, Instruction: Turn right onto Ganghoferstraße, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 99.8 meters, Time: 71.9 seconds
Name: -, Instruction: Continue straight, Distance: 288.6 meters, Time: 207.8 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Heimeranplatz, Instruction: Turn right onto Heimeranplatz, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Continue straight, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 313.8 meters, Time: 226.0 seconds
Name: -, Instruction: Turn left, Distance: 177.9 meters, Time: 128.1 seconds
Name: Garmischer Straße, Instruction: Keep left onto Garmischer Straße, Distance: 37.6 meters, Time: 27.1 seconds
Name: Tübinger Straße, Instruction: Turn right onto Tübinger Straße, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
